央视频道,#genre#
CCTV1HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-1/1.m3u8
CCTV2HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-2/1.m3u8
CCTV3HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-3/1.m3u8
CCTV4HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-4/1.m3u8
CCTV5HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-5/1.m3u8
CCTV5+HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV6HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-6/1.m3u8
CCTV7HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-7/1.m3u8
CCTV8HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-8/1.m3u8
CCTV9HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-news/1.m3u8
CCTV10HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-10/1.m3u8
CCTV11HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-11/1.m3u8
CCTV12HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-12/1.m3u8
CCTV13HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-13/1.m3u8
CCTV14HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-14/1.m3u8
CCTV15HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-15/1.m3u8
CCTV16HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/HD-4000k-1080P-cctv16/1.m3u8
CCTV17HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/HD-4000k-1080P-cctv17/1.m3u8
卫视频道,#genre#
河北卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/hebeistv/1.m3u8
安徽卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/anhuistv/1.m3u8
湖南卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/hunanstv/1.m3u8
东方卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/dongfangstv/1.m3u8
北京卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/beijingstv/1.m3u8
浙江卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/zhejiangstv/1.m3u8
江苏卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/jiangsustv/1.m3u8
天津卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/tianjinstv/1.m3u8
河南卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/henanstv/1.m3u8
重庆卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/chongqingstv/1.m3u8
东南卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/dongnanstv/1.m3u8
四川卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/sichuanstv/1.m3u8
山东卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/shandongstv/1.m3u8
辽宁卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/liaoningstv/1.m3u8
深圳卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/shenzhenstv/1.m3u8
江西卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/jiangxistv/1.m3u8
贵州卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/guizhoustv/1.m3u8
吉林卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/jilinstv/1.m3u8
广东卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/guangdongstv/1.m3u8
龙江卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/HD-2500k-1080P-heilongjiangstv/1.m3u8
广西卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/guangxistv/1.m3u8
湖北卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/HD-2500k-1080P-hubeistv/1.m3u8
甘肃卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/gansustv/1.m3u8
海南卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/hainanstv/1.m3u8

IPV4央视,#genre#
CCTV1综合,http://119.91.7.169:2026/ysws.php?id=CCTV1
CCTV2财经,http://119.91.7.169:2026/ysws.php?id=CCTV2
CCTV3综艺,http://119.91.7.169:2026/ysws.php?id=CCTV3
CCTV4中文国际,http://119.91.7.169:2026/ysws.php?id=CCTV4
CCTV5体育,http://119.91.7.169:2026/ysws.php?id=CCTV5
CCTV5+体育赛事,http://119.91.7.169:2026/ysws.php?id=CCTV5p
CCTV6电影,http://119.91.7.169:2026/ysws.php?id=CCTV6
CCTV7国防军事,http://119.91.7.169:2026/ysws.php?id=CCTV7
CCTV8电视剧,http://119.91.7.169:2026/ysws.php?id=CCTV8
CCTV9纪录,http://119.91.7.169:2026/ysws.php?id=CCTV9
CCTV10科教,http://119.91.7.169:2026/ysws.php?id=CCTV10
CCTV11戏曲,http://119.91.7.169:2026/ysws.php?id=CCTV11
CCTV12社会与法,http://119.91.7.169:2026/ysws.php?id=CCTV12
CCTV13新闻,http://119.91.7.169:2026/ysws.php?id=CCTV13
CCTV14少儿,http://119.91.7.169:2026/ysws.php?id=CCTV14
CCTV15音乐,http://119.91.7.169:2026/ysws.php?id=CCTV15
CCTV16奥林匹克,http://119.91.7.169:2026/ysws.php?id=CCTV16
CCTV17农业农村,http://119.91.7.169:2026/ysws.php?id=CCTV17
IPV4卫视,#genre#
东方卫视,http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/3000/index.m3u8?&encrypt=
北京卫视,http://119.91.7.169:2026/ysws.php?id=北京卫视
天津卫视,http://119.91.7.169:2026/ysws.php?id=天津卫视
海南卫视,http://119.91.7.169:2026/ysws.php?id=海南卫视
湖南卫视,http://119.91.7.169:2026/ysws.php?id=湖南卫视
广东卫视,http://119.91.7.169:2026/ysws.php?id=广东卫视
广西卫视,http://119.91.7.169:2026/ysws.php?id=广西卫视
深圳卫视,http://119.91.7.169:2026/ysws.php?id=深圳卫视
江苏卫视,http://119.91.7.169:2026/ysws.php?id=江苏卫视
江西卫视,http://119.91.7.169:2026/ysws.php?id=江西卫视
浙江卫视,http://119.91.7.169:2026/ysws.php?id=浙江卫视
湖北卫视,http://119.91.7.169:2026/ysws.php?id=湖北卫视
安徽卫视,http://119.91.7.169:2026/ysws.php?id=安徽卫视
山东卫视,http://119.91.7.169:2026/ysws.php?id=山东卫视
山西卫视,http://119.91.7.169:2026/ysws.php?id=山西卫视
河南卫视,http://119.91.7.169:2026/ysws.php?id=河南卫视
河北卫视,http://119.91.7.169:2026/ysws.php?id=河北卫视
龙江卫视,http://119.91.7.169:2026/ysws.php?id=黑龙江卫视
吉林卫视,http://119.91.7.169:2026/ysws.php?id=吉林卫视
辽宁卫视,http://119.91.7.169:2026/ysws.php?id=辽宁卫视
云南卫视,http://119.91.7.169:2026/ysws.php?id=云南卫视
贵州卫视,http://119.91.7.169:2026/ysws.php?id=贵州卫视
四川卫视,http://119.91.7.169:2026/ysws.php?id=四川卫视
重庆卫视,http://119.91.7.169:2026/ysws.php?id=重庆卫视
东南卫视,http://119.91.7.169:2026/ysws.php?id=东南卫视
IPV6央视,#genre#
CCTV1-综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=608807420
CCTV2-财经,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=631780532
CCTV3-综艺,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878271
CCTV4-国际,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=631780421
CCTV5-体育,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=641886683
CCTV5+体育赛事,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=641886773
CCTV6-电影,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878396
CCTV7-军农,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168121
CCTV8-电视剧,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878356
CCTV9-纪录,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168140
CCTV10-科教,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878405
CCTV11-戏曲,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=667987558
CCTV12-社会与法,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168185
CCTV13-新闻,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=608807423
CCTV14-少儿,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878440
CCTV15-音乐,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168223
CCTV17-农业农村,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168256
IPV6卫视,#genre#
东方卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=651632648
重庆卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=738910914
河南卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=790187291
广东卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=608831231
江苏卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=623899368
辽宁卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=630291707
咪咕一,#genre#
CCTV-1,http://go.bkpcp.top/mg/cctv1
CCTV-2,http://go.bkpcp.top/mg/cctv2
CCTV-3,http://go.bkpcp.top/mg/cctv3
CCTV-4,http://go.bkpcp.top/mg/cctv4
CCTV-5,http://go.bkpcp.top/mg/cctv5
CCTV-5+,http://go.bkpcp.top/mg/cctv5p
CCTV-6,http://go.bkpcp.top/mg/cctv6
CCTV-7,http://go.bkpcp.top/mg/cctv7
CCTV-8,http://go.bkpcp.top/mg/cctv8
CCTV-9,http://go.bkpcp.top/mg/cctv9
CCTV-10,http://go.bkpcp.top/mg/cctv10
CCTV-11,http://go.bkpcp.top/mg/cctv11
CCTV-12,http://go.bkpcp.top/mg/cctv12
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://go.bkpcp.top/mg/cctv14
CCTV-15,http://go.bkpcp.top/mg/cctv15
CCTV-17,http://go.bkpcp.top/mg/cctv17
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8&token=4e88e919f2e7b7eae2ec1b208dfb0b82
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
河北卫视,http://event.pull.hebtv.com/jishi/weishi_tingyun.m3u8
江苏卫视,http://go.bkpcp.top/mg/jsws
广东卫视,http://go.bkpcp.top/mg/gdws
东方卫视,http://go.bkpcp.top/mg/dfws
陕西卫视,http://go.bkpcp.top/mg/sxws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
吉林卫视,http://go.bkpcp.top/mg/jlws
青海卫视,http://go.bkpcp.top/mg/qhws
河南卫视,http://go.bkpcp.top/mg/hnws
东南卫视,http://go.bkpcp.top/mg/dnws
大湾区卫视,http://go.bkpcp.top/mg/dwqws
海南卫视,http://go.bkpcp.top/mg/hinws
湖南卫视,http://go.bkpcp.top/mg/hunws
北京卫视,http://go.bkpcp.top/mg/bjws
天津卫视,http://go.bkpcp.top/mg/tjws
重庆卫视,http://go.bkpcp.top/mg/cqws
黑龙江卫视,http://go.bkpcp.top/mg/hljws
辽宁卫视,http://go.bkpcp.top/mg/lnws
内蒙古卫视,http://go.bkpcp.top/mg/nmgws
甘肃卫视,http://go.bkpcp.top/mg/gsws
山西卫视,http://go.bkpcp.top/mg/sxiws
山东卫视,http://go.bkpcp.top/mg/sdws
安徽卫视,http://go.bkpcp.top/mg/ahws
深圳卫视,http://go.bkpcp.top/mg/szws
广西卫视,http://go.bkpcp.top/mg/gxws
云南卫视,http://go.bkpcp.top/mg/ynws
宁夏卫视,http://go.bkpcp.top/mg/nxws
贵州卫视,http://go.bkpcp.top/mg/gzws
四川卫视,http://go.bkpcp.top/mg/scws
咪咕二,#genre#
CCTV-1综合,http://go.061899.xyz:80/mg/cctv1
CCTV-2财经,http://go.061899.xyz:80/mg/cctv2
CCTV-3综艺,http://go.061899.xyz:80/mg/cctv3
CCTV-4中文国际,http://go.061899.xyz:80/mg/cctv4
CCTV-5体育,http://go.061899.xyz:80/mg/cctv5
CCTV-5+体育赛事,http://go.061899.xyz:80/mg/cctv5p
CCTV-6电影,http://go.061899.xyz:80/mg/cctv6
CCTV-7国防军事,http://go.061899.xyz:80/mg/cctv7
CCTV-8电视剧,http://go.061899.xyz:80/mg/cctv8
CCTV-9纪录,http://go.061899.xyz:80/mg/cctv9
CCTV-10科教,http://go.061899.xyz:80/mg/cctv10
CCTV-11戏曲,http://go.061899.xyz:80/mg/cctv11
CCTV-12社会与法,http://go.061899.xyz:80/mg/cctv12
CCTV-13新闻,http://go.061899.xyz:80/mg/cctv13
CCTV-14少儿,http://go.061899.xyz:80/mg/cctv14
CCTV-15音乐,http://go.061899.xyz:80/mg/cctv15
CCTV-16奥林匹克,http://go.061899.xyz:80/mg/cctv16
