# 放一些总是被检测工具识别为不可播放其实可播放的源
cdn6,#genre#
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws
黑龙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws
go.061899.xyz,#genre#
CCTV-1综合,http://go.061899.xyz:80/mg/cctv1
CCTV-2财经,http://go.061899.xyz:80/mg/cctv2
CCTV-3综艺,http://go.061899.xyz:80/mg/cctv3
CCTV-4中文国际,http://go.061899.xyz:80/mg/cctv4
CCTV-5体育,http://go.061899.xyz:80/mg/cctv5
CCTV-5+体育赛事,http://go.061899.xyz:80/mg/cctv5p
CCTV-6电影,http://go.061899.xyz:80/mg/cctv6
CCTV-7国防军事,http://go.061899.xyz:80/mg/cctv7
CCTV-8电视剧,http://go.061899.xyz:80/mg/cctv8
CCTV-9纪录,http://go.061899.xyz:80/mg/cctv9
CCTV-10科教,http://go.061899.xyz:80/mg/cctv10
CCTV-11戏曲,http://go.061899.xyz:80/mg/cctv11
CCTV-12社会与法,http://go.061899.xyz:80/mg/cctv12
CCTV-13新闻,http://go.061899.xyz:80/mg/cctv13
CCTV-14少儿,http://go.061899.xyz:80/mg/cctv14
CCTV-15音乐,http://go.061899.xyz:80/mg/cctv15
CCTV-16奥林匹克,http://go.061899.xyz:80/mg/cctv16
CCTV-17农业农村,http://go.061899.xyz:80/mg/cctv17
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
江苏卫视4k,http://8.138.7.223/tv/jsws4k.php
东方卫视4k,http://go.061899.xyz:80/mg/dfws
浙江卫视4K,http://go.061899.xyz:80/mg/zjws
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
江苏卫视,http://go.061899.xyz:80/mg/jsws
河南卫视,http://go.061899.xyz:80/mg/hnws
广东卫视,http://go.061899.xyz:80/mg/gdws
江西卫视,http://go.061899.xyz:80/mg/jxws
河北卫视,http://go.061899.xyz:80/mg/hbws
北京卫视,http://go.061899.xyz:80/mg/bjws
天津卫视,http://go.061899.xyz:80/mg/tjws
辽宁卫视,http://go.061899.xyz:80/mg/lnws
深圳卫视,http://go.061899.xyz:80/mg/szws
重庆卫视,http://go.061899.xyz:80/mg/cqws
安微卫视,http://go.061899.xyz:80/mg/ahws
四川卫视,http://go.061899.xyz:80/mg/scws
东南卫视,http://go.061899.xyz:80/mg/dnws
贵州卫视,http://go.061899.xyz:80/mg/gzws
湖北卫视,http://go.061899.xyz:80/mg/hubws
广西卫视,http://go.061899.xyz:80/mg/gxws
吉林卫视,http://go.061899.xyz:80/mg/jlbws
黑龙江卫视,http://go.061899.xyz:80/mg/hljws
119.91.7.169:2026,#genre#
CCTV1综合,http://119.91.7.169:2026/ysws.php?id=CCTV1
CCTV2财经,http://119.91.7.169:2026/ysws.php?id=CCTV2
CCTV3综艺,http://119.91.7.169:2026/ysws.php?id=CCTV3
