# 这是接口的白名单，白名单内的接口将不会参与测速，始终保留至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist for the interface. Interfaces in the whitelist will not participate in speed testing and will always be retained at the front of the results.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.

CCTV-1,http://go.bkpcp.top/mg/cctv1
CCTV-2,http://go.bkpcp.top/mg/cctv2
CCTV-3,http://go.bkpcp.top/mg/cctv3
CCTV-4,http://go.bkpcp.top/mg/cctv4
CCTV-5,http://go.bkpcp.top/mg/cctv5
CCTV-5+,http://go.bkpcp.top/mg/cctv5p
CCTV-6,http://go.bkpcp.top/mg/cctv6
CCTV-7,http://go.bkpcp.top/mg/cctv7
CCTV-8,http://go.bkpcp.top/mg/cctv8
CCTV-9,http://go.bkpcp.top/mg/cctv9
CCTV-10,http://go.bkpcp.top/mg/cctv10
CCTV-11,http://go.bkpcp.top/mg/cctv11
CCTV-12,http://go.bkpcp.top/mg/cctv12
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://go.bkpcp.top/mg/cctv14
CCTV-15,http://go.bkpcp.top/mg/cctv15
CCTV-16,http://go.bkpcp.top/mg/cctv16
CCTV-17,http://go.bkpcp.top/mg/cctv17
CCTV4欧洲,http://go.bkpcp.top/mg/cctv4o
CCTV4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne
CGTN-阿,http://go.bkpcp.top/mg/cgtna
CGTN-法,http://go.bkpcp.top/mg/cgtnf
CCTV1综合,http://go.bkpcp.top/mg/cctv1
CCTV2财经,http://go.bkpcp.top/mg/cctv2
CCTV3综艺,http://go.bkpcp.top/mg/cctv3
CCTV4中文国际,http://go.bkpcp.top/mg/cctv4
CCTV5体育,http://go.bkpcp.top/mg/cctv5
CCTV5+体育赛事,http://go.bkpcp.top/mg/cctv5p
CCTV6电影,http://go.bkpcp.top/mg/cctv6
CCTV7国防军事,http://go.bkpcp.top/mg/cctv7
CCTV8电视剧,http://go.bkpcp.top/mg/cctv8
CCTV9纪录,http://go.bkpcp.top/mg/cctv9
CCTV10科教,http://go.bkpcp.top/mg/cctv10
CCTV11戏曲,http://go.bkpcp.top/mg/cctv11
CCTV12社会与法,http://go.bkpcp.top/mg/cctv12
CCTV13新闻,http://go.bkpcp.top/mg/cctv13
CCTV14少儿,http://go.bkpcp.top/mg/cctv14
CCTV15音乐,http://go.bkpcp.top/mg/cctv15
CCTV16奥林匹克,http://go.bkpcp.top/mg/cctv16
CCTV17农业农村,http://go.bkpcp.top/mg/cctv17
CGTN法语,http://go.bkpcp.top/mg/cgtnf
CGTN西语,http://go.bkpcp.top/mg/cgtne
CGTN阿语,http://go.bkpcp.top/mg/cgtna
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视,http://go.bkpcp.top/mg/szws
大湾区卫视,http://go.bkpcp.top/mg/dwqws
湖南卫视,http://go.bkpcp.top/mg/hunws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
东南卫视,http://go.bkpcp.top/mg/dnws
北京卫视,http://go.bkpcp.top/mg/bjws
天津卫视,http://go.bkpcp.top/mg/tjws
东方卫视,http://go.bkpcp.top/mg/dfws
黑龙江卫视,http://go.bkpcp.top/mg/hljws
湖北卫视,http://go.bkpcp.top/mg/hubws
山东卫视,http://go.bkpcp.top/mg/sdws
辽宁卫视,http://go.bkpcp.top/mg/lnws
安徽卫视,http://go.bkpcp.top/mg/ahws
河北卫视,http://go.bkpcp.top/mg/hbws
重庆卫视,http://go.bkpcp.top/mg/cqws
江西卫视,http://go.bkpcp.top/mg/jxws
云南卫视,http://go.bkpcp.top/mg/ynws
延边卫视,http://go.bkpcp.top/mg/ybws
新疆卫视,http://go.bkpcp.top/mg/xjws
青海卫视,http://go.bkpcp.top/mg/qhws
吉林卫视,http://go.bkpcp.top/mg/jlws
内蒙古卫视,http://go.bkpcp.top/mg/nmgws
宁夏卫视,http://go.bkpcp.top/mg/nxws
甘肃卫视,http://go.bkpcp.top/mg/gsws
陕西卫视,http://go.bkpcp.top/mg/sxws
山西卫视,http://go.bkpcp.top/mg/sxiws
河南卫视,http://go.bkpcp.top/mg/hnws
厦门卫视,http://go.bkpcp.top/mg/xmws
广西卫视,http://go.bkpcp.top/mg/gxws
四川卫视,http://go.bkpcp.top/mg/scws
康巴卫视,http://go.bkpcp.top/mg/kbws
农林卫视,http://go.bkpcp.top/mg/nlws
兵团卫视,http://go.bkpcp.top/mg/btws
西藏卫视,http://go.bkpcp.top/mg/xzws
海南卫视,http://go.bkpcp.top/mg/hinws
凤凰中文,http://cdn6.163189.xyz/163189/fhzw
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
凤凰香港,http://cdn6.163189.xyz/163189/fhhk
CHC动作电影,http://go.bkpcp.top/mg/dzdy
CHC影迷电影,http://go.bkpcp.top/mg/ymdy
CHC家庭影院,http://go.bkpcp.top/mg/jtyy
杭州少体,http://go.bkpcp.top/mg/hzse
杭州生活,http://go.bkpcp.top/mg/hzsh
杭州综合,http://go.bkpcp.top/mg/hzzh
杭州影视,http://go.bkpcp.top/mg/hzys
游戏风云,http://go.bkpcp.top/mg/yxfy
杭州明珠,http://go.bkpcp.top/mg/hzmz
之江纪录,http://go.bkpcp.top/mg/zjjl
嵊泗综合,http://go.bkpcp.top/mg/ssxwzh
山东教育,http://go.bkpcp.top/mg/sdjy
CCTV老故事,http://go.bkpcp.top/mg/lgs
发现之旅,http://go.bkpcp.top/mg/fxzl
中学生,http://go.bkpcp.top/mg/zxs
CGTN纪录,http://go.bkpcp.top/mg/cgtnjl
CGTN俄语,http://go.bkpcp.top/mg/cgtnr
四海钓鱼,http://go.bkpcp.top/mg/shdy
江苏教育,http://go.bkpcp.top/mg/jsjy
欢笑剧场,http://go.bkpcp.top/mg/hxjc
[KEYWORDS]
# 以下是关键字白名单，含有关键字的地址会被加入白名单，换行输入。
# This is the keyword whitelist. Addresses containing keywords will be added to the whitelist, newline input.

go.bkpcp.top/mg
