🕘️更新时间,#genre#
2026-02-13 02:20:25,http://go.bkpcp.top/mg/cctv1

📺央视频道,#genre#
CCTV1综合,http://go.bkpcp.top/mg/cctv1
CCTV1综合,http://go.061899.xyz:80/mg/cctv1
CCTV1综合,http://23.237.228.134/live5/CCTV1.m3u8
CCTV1综合,http://43.156.8.127:5050/ysp?id=2024078201&pid=600001859&q=fhd
CCTV1综合,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV1综合,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV1综合,http://kouki.pro:8888/udp/239.49.8.129:6000
CCTV1综合,http://113.118.133.195:9999/rtp/239.77.1.144:5146
CCTV1综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=608807420
CCTV1综合,http://111.170.157.210:1081/?id=608807420&auth=95d4c11f9a4bc430bf05d5da4ace7ccb7b891049106baf6eb75d2b839bd66740540a16966d07620b019220384a4f0be5
CCTV1综合,http://113.118.133.195:9999/rtp/239.77.0.129:5146
CCTV1综合,http://drive.mxmy.net:8888/udp/239.3.1.129:8008
CCTV1综合,http://1.31.14.70:54321/hls/2/index.m3u8
CCTV1综合,http://hczn.x3322.net:9902/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://kouki.pro:8888/rtp/239.49.8.19:9614?
CCTV2财经,http://go.bkpcp.top/mg/cctv2
CCTV2财经,http://go.061899.xyz:80/mg/cctv2
CCTV2财经,http://43.156.8.127:5050/ysp?id=2024075401&pid=600001800&q=fhd
CCTV2财经,http://23.237.228.134/live5/CCTV2.m3u8
CCTV2财经,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV2财经,http://113.26.251.182:8009/hls/2/index.m3u8
CCTV2财经,http://kouki.pro:8888/udp/239.49.8.50:9802
CCTV2财经,http://kouki.pro:8888/rtp/239.49.8.50:9802?
CCTV2财经,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=631780532
CCTV2财经,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV2财经,http://113.118.133.195:9999/rtp/239.77.1.158:5146
CCTV2财经,http://111.170.157.210:1081/?id=631780532&auth=95d4c11f9a4bc430bf05d5da4ace7ccb3086a0825492913bdcdccf25b70489aaa369f66c974eae25bdf70cc73f4775f2
CCTV2财经,http://43.251.226.89:8080/play/2.m3u8
CCTV2财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://113.118.133.195:9999/rtp/239.77.0.137:5146
CCTV3综艺,http://go.bkpcp.top/mg/cctv3
CCTV3综艺,http://go.061899.xyz:80/mg/cctv3
CCTV3综艺,http://23.237.228.134/live5/CCTV3.m3u8
CCTV3综艺,http://43.156.8.127:5050/ysp?id=2024068501&pid=600001801&q=fhd
CCTV3综艺,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV3综艺,http://113.118.133.195:9999/rtp/239.77.1.7:5146
CCTV3综艺,http://kouki.pro:8888/udp/239.49.8.74:8000
CCTV3综艺,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV3综艺,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV3综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://113.26.251.182:8009/hls/3/index.m3u8
CCTV3综艺,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878271
CCTV3综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8
CCTV3综艺,http://113.118.133.195:9999/rtp/239.77.0.169:5146
CCTV3综艺,http://43.251.226.89:8080/play/3.m3u8
CCTV4中文国际,http://go.bkpcp.top/mg/cctv4
CCTV4中文国际,http://go.061899.xyz:80/mg/cctv4
CCTV4中文国际,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV4中文国际,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV4中文国际,http://kouki.pro:8888/rtp/239.49.8.51:9806?
CCTV4中文国际,http://iptv.4666888.xyz/iptv2A.php?id=10
CCTV4中文国际,http://111.170.157.210:1081/?id=631780421&auth=95d4c11f9a4bc430bf05d5da4ace7ccbcc9c3e19f585e22907565877335c8708d82ec1f4d833e4faa315f5832418e119
CCTV4中文国际,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=631780421
CCTV4中文国际,http://43.251.226.89:8080/play/4.m3u8
CCTV4中文国际,http://113.26.251.182:8009/hls/4/index.m3u8
CCTV4中文国际,http://61.184.46.85:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://113.118.133.195:9999/rtp/239.77.1.163:5146
CCTV4中文国际,http://113.118.133.195:9999/rtp/239.77.1.166:5146
CCTV4中文国际,http://113.118.133.195:9999/rtp/239.77.0.78:5146
CCTV4中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV5体育,http://go.bkpcp.top/mg/cctv5
CCTV5体育,http://go.061899.xyz:80/mg/cctv5
CCTV5体育,http://go.bkpcp.top/mg/cctv5p
CCTV5体育,http://go.061899.xyz:80/mg/cctv5p
CCTV5体育,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV5体育,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV5体育,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV5体育,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=641886773
CCTV5体育,http://113.118.133.195:9999/rtp/239.77.1.8:5146
CCTV5体育,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=641886683
CCTV5体育,http://43.251.226.89:8080/play/5.m3u8
CCTV5体育,http://113.26.251.182:8009/hls/18/index.m3u8
CCTV5体育,http://111.170.157.210:1081/?id=641886683&auth=95d4c11f9a4bc430bf05d5da4ace7ccb7e51d44470f9033b4bec6fc615d1ec63c4f27e53cc277d8e45d00a4864c7e061
CCTV5体育,http://113.26.251.182:8009/hls/5/index.m3u8
CCTV5体育,http://113.118.133.195:9999/rtp/239.77.0.170:5146
CCTV5+体育赛事,http://go.bkpcp.top/mg/cctv5p
CCTV5+体育赛事,http://go.061899.xyz:80/mg/cctv5p
CCTV5+体育赛事,http://23.237.228.134/live5/CCTV5p.m3u8
CCTV5+体育赛事,http://113.118.133.195:9999/rtp/239.77.1.31:5146
CCTV5+体育赛事,http://111.170.157.210:1081/?id=641886773&auth=95d4c11f9a4bc430bf05d5da4ace7ccbe8e312151a2307df5f61f7898507b915067e96a458c29392da3360c9e827756b
CCTV5+体育赛事,http://1.31.14.70:54321/hls/8/index.m3u8
CCTV5+体育赛事,http://43.251.226.89:8080/play/6.m3u8
CCTV5+体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV5+体育赛事,http://113.118.133.195:9999/rtp/239.77.0.87:5146
CCTV5+体育赛事,http://61.184.46.85:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://cssbyd.imwork.net:8082/hls/6/index.m3u8
CCTV5+体育赛事,http://122.5.16.250:8989/tsfile/live/1030_1.m3u8
CCTV5+体育赛事,http://182.150.23.74:808/hls/16/index.m3u8
CCTV5+体育赛事,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://114.241.91.20:4022/rtp/239.3.1.130:8004
CCTV6电影,http://go.bkpcp.top/mg/cctv6
CCTV6电影,http://go.061899.xyz:80/mg/cctv6
CCTV6电影,http://43.156.8.127:5050/ysp?id=2013693901&pid=600108442&q=fhd
CCTV6电影,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV6电影,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV6电影,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878396
CCTV6电影,http://113.118.133.195:9999/rtp/239.77.0.171:5146
CCTV6电影,http://113.26.251.182:8009/hls/6/index.m3u8
CCTV6电影,http://111.170.157.210:1081/?id=624878396&auth=95d4c11f9a4bc430bf05d5da4ace7ccb286e9ceb3aed924de256d512ccf388dcab3088f7a2f7510703ce1d7edcff55a9
CCTV6电影,http://113.118.133.195:9999/rtp/239.77.1.9:5146
CCTV6电影,http://43.251.226.89:8080/play/7.m3u8
CCTV6电影,http://120.202.94.181:9446/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6电影,http://27.41.245.32:801/hls/6/index.m3u8
CCTV6电影,http://61.184.46.85:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://kouki.pro:8888/udp/239.49.8.76:8000
CCTV7国防军事,http://go.bkpcp.top/mg/cctv7
CCTV7国防军事,http://go.061899.xyz:80/mg/cctv7
CCTV7国防军事,http://23.237.228.134/live5/CCTV7.m3u8
CCTV7国防军事,http://43.156.8.127:5050/ysp?id=2024072001&pid=600004092&q=fhd
CCTV7国防军事,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV7国防军事,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV7国防军事,http://113.118.133.195:9999/rtp/239.77.1.159:5146
CCTV7国防军事,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168121
CCTV7国防军事,http://111.170.157.210:1081/?id=673168121&auth=95d4c11f9a4bc430bf05d5da4ace7ccb31ed95a9506d9e04772a35ca8a84b01ca13ee5dd06d3b0a52711fa6e42bf9a9f
CCTV7国防军事,http://113.118.133.195:9999/rtp/239.77.0.138:5146
CCTV7国防军事,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8
CCTV7国防军事,http://1.31.14.70:54321/hls/9/index.m3u8
CCTV7国防军事,http://113.26.251.182:8009/hls/7/index.m3u8
CCTV7国防军事,http://43.251.226.89:8080/play/8.m3u8
CCTV7国防军事,http://120.202.94.181:9446/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8电视剧,http://go.bkpcp.top/mg/cctv8
CCTV8电视剧,http://go.061899.xyz:80/mg/cctv8
CCTV8电视剧,http://43.156.8.127:5050/ysp?id=2026774101&pid=600156816&q=fhd
CCTV8电视剧,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV8电视剧,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub
CCTV8电视剧,http://113.118.133.195:9999/rtp/239.77.1.10:5146
CCTV8电视剧,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878356
CCTV8电视剧,http://1.31.14.70:54321/hls/14/index.m3u8
CCTV8电视剧,http://111.170.157.210:1081/?id=624878356&auth=95d4c11f9a4bc430bf05d5da4ace7ccb6034118cc61ab97f2da0fedcd6736182ab2588703088f3b97975b85b0ebae188
CCTV8电视剧,http://222.169.85.8:9901/tsfile/live/0008_1.m3u8
CCTV8电视剧,http://113.118.133.195:9999/rtp/239.77.0.172:5146
CCTV8电视剧,http://112.132.10.54:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://43.251.226.89:8080/play/9.m3u8
CCTV8电视剧,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://tvbox6.icu/tv/migu.php?id=cctv8
CCTV9纪录,http://go.bkpcp.top/mg/cctv9
CCTV9纪录,http://go.061899.xyz:80/mg/cctv9
CCTV9纪录,http://23.237.228.134/live5/CCTV9.m3u8
CCTV9纪录,http://43.156.8.127:5050/ysp?id=2024078601&pid=600004078&q=fhd
CCTV9纪录,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
CCTV9纪录,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV9纪录,http://113.118.133.195:9999/rtp/239.77.1.160:5146
CCTV9纪录,http://kouki.pro:8888/udp/239.49.8.53:9814
CCTV9纪录,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168140
CCTV9纪录,http://43.251.226.89:8080/play/10.m3u8
CCTV9纪录,http://1.31.14.70:54321/hls/10/index.m3u8
CCTV9纪录,http://kouki.pro:8888/rtp/239.49.8.53:9814?
CCTV9纪录,http://113.118.133.195:9999/rtp/239.77.0.135:5146
CCTV9纪录,http://113.26.251.182:8009/hls/9/index.m3u8
CCTV9纪录,http://27.41.245.32:801/hls/9/index.m3u8
