央视频道,#genre#
CCTV1HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-1/1.m3u8
CCTV2HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-2/1.m3u8
CCTV3HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-3/1.m3u8
CCTV4HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-4/1.m3u8
CCTV5HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-5/1.m3u8
CCTV5+HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV6HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-6/1.m3u8
CCTV7HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-7/1.m3u8
CCTV8HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-8/1.m3u8
CCTV9HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-news/1.m3u8
CCTV10HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-10/1.m3u8
CCTV11HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-11/1.m3u8
CCTV12HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-12/1.m3u8
CCTV13HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-13/1.m3u8
CCTV14HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-14/1.m3u8
CCTV15HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/cctv-15/1.m3u8
CCTV16HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/HD-4000k-1080P-cctv16/1.m3u8
CCTV17HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/HD-4000k-1080P-cctv17/1.m3u8
卫视频道,#genre#
河北卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/hebeistv/1.m3u8
安徽卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/anhuistv/1.m3u8
湖南卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/hunanstv/1.m3u8
东方卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/dongfangstv/1.m3u8
北京卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/beijingstv/1.m3u8
浙江卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/zhejiangstv/1.m3u8
江苏卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/jiangsustv/1.m3u8
天津卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/tianjinstv/1.m3u8
河南卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/henanstv/1.m3u8
重庆卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/chongqingstv/1.m3u8
东南卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/dongnanstv/1.m3u8
四川卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/sichuanstv/1.m3u8
山东卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/shandongstv/1.m3u8
辽宁卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/liaoningstv/1.m3u8
深圳卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/shenzhenstv/1.m3u8
江西卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/jiangxistv/1.m3u8
贵州卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/guizhoustv/1.m3u8
吉林卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/jilinstv/1.m3u8
广东卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/guangdongstv/1.m3u8
龙江卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/HD-2500k-1080P-heilongjiangstv/1.m3u8
广西卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/guangxistv/1.m3u8
湖北卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/HD-2500k-1080P-hubeistv/1.m3u8
甘肃卫视HD,http://hbgslbserv.taipan.jda.bcs.ottcn.com:6060/030000001001/gansustv/1.m3u8
海南卫视HD,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws

IPV4央视,#genre#
CCTV1综合,http://36.110.54.118:866/hls/1/index.m3u8
CCTV2财经,http://115.191.9.43:1234/631780532
CCTV3综艺,http://115.191.9.43:1234/624878271
CCTV4中文国际,http://115.191.9.43:1234/631780421
CCTV5体育,http://115.191.9.43:1234/641886683
CCTV5+体育赛事,http://115.191.9.43:1234/641886773
CCTV6电影,http://115.191.9.43:1234/624878396
CCTV7国防军事,http://115.191.9.43:1234/673168121
CCTV8电视剧,http://115.191.9.43:1234/624878356
CCTV9纪录,http://115.191.9.43:1234/673168140
CCTV10科教,http://115.191.9.43:1234/624878405
CCTV11戏曲,http://115.191.9.43:1234/667987558
CCTV12社会与法,http://115.191.9.43:1234/673168185
CCTV13新闻,http://115.191.9.43:1234/608807423
CCTV14少儿,http://115.191.9.43:1234/624878440
CCTV15音乐,http://115.191.9.43:1234/673168223
CCTV17农业农村,http://115.191.9.43:1234/673168256
CCTV-4K,http://154.12.36.187:656/index.php?token=7777&id=cctv4k
CCTV-8K,http://154.12.36.187:656/index.php?token=7777&id=cctv8k

IPV4卫视,#genre#
湖南卫视4k,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
东方卫视4k,https://bp-resource-dfl.bestv.cn/148/3/video.m3u8
江苏卫视4K,http://8.138.7.223/tv/jsws4k.php
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k
北京卫视4K,http://129.211.14.102:25000/btime.php?id=bjws&token=www.9kds.com
浙江卫视4K,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
东方卫视,http://115.191.9.43:1234/651632648
江苏卫视,http://115.191.9.43:1234/623899368
广东卫视,http://115.191.9.43:1234/608831231
北京卫视,http://115.191.9.43:1234/630287636
辽宁卫视,http://115.191.9.43:1234/630291707
江西卫视,http://115.191.9.43:1234/783847495
河南卫视,http://115.191.9.43:1234/790187291
河北卫视,http://115.191.9.43:1234/962042070
陕西卫视,http://115.191.9.43:1234/738910838
大湾区卫视,http://115.191.9.43:1234/608917627
湖北卫视,http://115.191.9.43:1234/947472496
吉林卫视,http://115.191.9.43:1234/947472500
青海卫视,http://115.191.9.43:1234/947472506
东南卫视,http://115.191.9.43:1234/849116810
海南卫视,http://115.191.9.43:1234/947472502
海峡卫视,http://115.191.9.43:1234/849119120
中国农林卫视,http://115.191.9.43:1234/956904896
兵团卫视,http://115.191.9.43:1234/956923145
宁夏卫视,http://115.191.9.43:1234/738910535
重庆卫视,http://115.191.9.43:1234/738910914
三沙卫视,http://115.191.9.43:1234/961023778
CHC影迷电影,http://115.191.9.43:1234/952383261
CHC影迷电影,http://115.191.9.43:1234/952383261

河北移动组播,#genre#
河北卫视,http://192.168.0.220:4022/rtp/239.255.2.19:8102
河北经济,http://192.168.0.220:4022/rtp/239.255.2.20:8108
河北都市,http://192.168.0.220:4022/rtp/239.255.2.21:8114
河北影视,http://192.168.0.220:4022/rtp/239.255.2.22:8120
河北少儿,http://192.168.0.220:4022/rtp/239.255.2.23:8126
河北公共,http://192.168.0.220:4022/rtp/239.255.2.24:8132
河北三农,http://192.168.0.220:4022/rtp/239.255.2.25:8138
河北杂技,http://192.168.0.220:4022/rtp/239.255.3.52:9772
睛彩河北,http://192.168.0.220:4022/rtp/239.255.2.26:8144
隆尧电视,http://192.168.0.220:4022/rtp/239.255.3.33:9688
石家庄新闻综合,http://192.168.0.220:4022/rtp/239.255.2.33:8186
石家庄娱乐,http://192.168.0.220:4022/rtp/239.255.2.34:8192
石家庄服务,http://192.168.0.220:4022/rtp/239.255.2.35:8198
邢台综合,http://192.168.0.220:4022/rtp/239.255.2.65:8378
邢台生活,http://192.168.0.220:4022/rtp/239.255.2.67:8390
邯郸综合,http://192.168.0.220:4022/rtp/239.255.2.68:8396
邯郸公共,http://192.168.0.220:4022/rtp/239.255.2.69:8402
邯郸科教,http://192.168.0.220:4022/rtp/239.255.2.70:8408
梨园频道,http://192.168.0.220:4022/rtp/239.255.3.76:9868
武术世界,http://192.168.0.220:4022/udp/239.255.3.91:7964
文物宝库,http://192.168.0.220:4022/udp/239.255.3.96:7944
中国交通,http://192.168.0.220:4022/rtp/239.255.2.110:8648
任泽,http://192.168.0.220:4022/rtp/239.255.3.24:9644
清河,http://192.168.0.220:4022/rtp/239.255.2.191:9134
宁晋,http://192.168.0.220:4022/rtp/239.255.2.198:9176
广宗,http://192.168.0.220:4022/rtp/239.255.2.195:9158
平乡,http://192.168.0.220:4022/rtp/239.255.2.200:9188
鸡泽,http://192.168.0.220:4022/rtp/239.255.2.200:9188
南和,http://192.168.0.220:4022/rtp/239.255.2.203:9206

CCTV1,http://192.168.0.220:4022/rtp/239.255.2.2:8000
CCTV2,http://192.168.0.220:4022/rtp/239.255.2.3:8006
CCTV3,http://192.168.0.220:4022/rtp/239.255.5.92:8364
CCTV4,http://192.168.0.220:4022/rtp/239.255.2.5:8018
CCTV5,http://192.168.0.220:4022/rtp/239.255.5.94:8372
CCTV5+,http://192.168.0.220:4022/rtp/239.255.2.18:8096
CCTV6,http://192.168.0.220:4022/rtp/239.255.5.95:8376
CCTV7,http://192.168.0.220:4022/rtp/239.255.2.8:8036
CCTV8,http://192.168.0.220:4022/rtp/239.255.5.96:8380
CCTV9,http://192.168.0.220:4022/rtp/239.255.2.10:8048
CCTV10,http://192.168.0.220:4022/rtp/239.255.2.11:8054
CCTV11,http://192.168.0.220:4022/rtp/239.255.3.34:9694
CCTV12,http://192.168.0.220:4022/rtp/239.255.2.13:8066
CCTV13,http://192.168.0.220:4022/rtp/239.255.2.14:8072
CCTV14,http://192.168.0.220:4022/rtp/239.255.2.15:8078
CCTV15,http://192.168.0.220:4022/rtp/239.255.3.35:9700
CCTV16,http://192.168.0.220:4022/udp/239.255.2.112:8660
CCTV17,http://192.168.0.220:4022/rtp/239.255.3.36:9706
CCTV4K,http://192.168.0.220:4022/rtp/239.255.3.150:9972

北京卫视4K,http://192.168.0.220:4022/rtp/239.255.2.116:8684
深圳卫视4K,http://192.168.0.220:4022/rtp/239.255.2.131:8774
广东卫视4K,http://192.168.0.220:4022/rtp/239.255.2.133:8786
湖南卫视4K,http://192.168.0.220:4022/rtp/239.255.2.148:8876
浙江卫视4K,http://192.168.0.220:4022/rtp/239.255.2.154:8912
东方卫视4K,http://192.168.0.220:4022/rtp/239.255.2.157:8930
四川卫视4K,http://192.168.0.220:4022/rtp/239.255.2.159:8942
山东卫视4K,http://192.168.0.220:4022/rtp/239.255.2.164:8972
北京卫视,http://192.168.0.220:4022/rtp/239.255.2.76:8444
天津卫视,http://192.168.0.220:4022/rtp/239.255.2.77:8450
东方卫视,http://192.168.0.220:4022/rtp/239.255.2.88:8516
重庆卫视,http://192.168.0.220:4022/rtp/239.255.2.89:8522
山东卫视,http://192.168.0.220:4022/rtp/239.255.2.79:8462
湖南卫视,http://192.168.0.220:4022/rtp/239.255.2.71:8414
湖北卫视,http://192.168.0.220:4022/rtp/239.255.2.87:8510
浙江卫视,http://192.168.0.220:4022/rtp/239.255.2.72:8420
江苏卫视,http://192.168.0.220:4022/rtp/239.255.2.73:8426
安徽卫视,http://192.168.0.220:4022/rtp/239.255.2.74:8432
江西卫视,http://192.168.0.220:4022/rtp/239.255.2.84:8492
东南卫视,http://192.168.0.220:4022/rtp/239.255.2.75:8438
辽宁卫视,http://192.168.0.220:4022/rtp/239.255.2.78:8456
河南卫视,http://192.168.0.220:4022/rtp/239.255.2.81:8474
贵州卫视,http://192.168.0.220:4022/rtp/239.255.2.85:8498
四川卫视,http://192.168.0.220:4022/rtp/239.255.2.83:8486
厦门卫视,http://192.168.0.220:4022/rtp/239.255.5.44:8172
广西卫视,http://192.168.0.220:4022/rtp/239.255.3.207:10200
广东卫视,http://192.168.0.220:4022/rtp/239.255.2.90:8528
深圳卫视,http://192.168.0.220:4022/rtp/239.255.2.86:8504
海南卫视,http://192.168.0.220:4022/rtp/239.255.3.213:10224
黑龙江卫视,http://192.168.0.220:4022/rtp/239.255.2.82:8480
吉林卫视,http://192.168.0.220:4022/rtp/239.255.2.92:8540
三沙卫视,http://192.168.0.220:4022/rtp/239.255.3.70:9516
延边卫视,http://192.168.0.220:4022/rtp/239.255.5.76:8300
云南卫视,http://192.168.0.220:4022/rtp/239.255.2.80:8468
康巴卫视,http://192.168.0.220:4022/rtp/239.255.5.74:8292
陕西卫视,http://192.168.0.220:4022/rtp/239.255.2.93:8546
农林卫视,http://192.168.0.220:4022/rtp/239.255.5.75:8296
山西卫视,http://192.168.0.220:4022/rtp/239.255.2.94:8552
内蒙古卫视,http://192.168.0.220:4022/rtp/239.255.2.95:8558
青海卫视,http://192.168.0.220:4022/rtp/239.255.2.96:8564
安多卫视,http://192.168.0.220:4022/rtp/239.255.5.73:8288
宁夏卫视,http://192.168.0.220:4022/rtp/239.255.2.98:8576
