央视频道,#genre#
CCTV1,http://liuwenxiaokevin.top:14044/rtp/233.18.204.52:5140
CCTV2,http://liuwenxiaokevin.top:14044/rtp/233.18.204.68:5140
CCTV3,http://liuwenxiaokevin.top:14044/rtp/233.18.204.69:5140
CCTV4,http://liuwenxiaokevin.top:14044/rtp/233.18.204.70:5140
CCTV5,http://liuwenxiaokevin.top:14044/rtp/233.18.204.71:5140
CCTV5+,http://liuwenxiaokevin.top:14044/rtp/233.18.204.67:5140
CCTV6,http://liuwenxiaokevin.top:14044/rtp/233.18.204.72:5140
CCTV7,http://liuwenxiaokevin.top:14044/rtp/233.18.204.73:5140
CCTV8,http://liuwenxiaokevin.top:14044/rtp/233.18.204.74:5140
CCTV9,http://liuwenxiaokevin.top:14044/rtp/233.18.204.75:5140
CCTV10,http://liuwenxiaokevin.top:14044/rtp/233.18.204.76:5140
CCTV13,http://liuwenxiaokevin.top:14044/rtp/233.18.204.79:5140
CCTV4K,http://liuwenxiaokevin.top:14044/rtp/233.18.204.188:5140
CCTV8K,http://198.204.228.26/live/cctv8k.m3u8?ysp
CCTV1,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=b4829f0a5cdcff84fe2c540b11ee29
CCTV2,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=97d40bfb13291fb2022d1efd573c2f
CCTV3,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=e179c8947371d8eee3f290a2049071
CCTV4,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=5418e7c9bfdcc8420045836051c9df
CCTV5,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=7da5916b954c950b97e13ccf2ac021
CCTV5+,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=af0265c0bcc4e8188699132b7b2437
CCTV6,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=48ecdb857dce0c41d4b656e71a6ab5
CCTV7,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=01d1f2ce8b8c7eefc3cf997d4ba4cd
CCTV8,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=8b2672c94a971ead22fc71bb08f03d
CCTV9,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=6f7330baac88efc238870b19179d11
CCTV10,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=02b28dfc70fb7b4e0420e798a96e99
CCTV13,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=1448a7993bc0468fdce112f8d37a02
CCTV1,http://192.151.150.154/live/cctv1hd.m3u8
CCTV2,http://192.151.150.154/live/cctv2hd.m3u8
CCTV3,http://192.151.150.154/live/cctv3hd.m3u8
CCTV4,http://192.151.150.154/live/cctv4hd.m3u8
CCTV5,http://198.204.228.26/live/cctv5hd.m3u8
CCTV5+,http://198.204.228.26/live/cctv5p.m3u8
CCTV6,http://192.151.150.154/live/cctv6hd.m3u8
CCTV7,http://192.151.150.154/live/cctv7hd.m3u8
CCTV8,http://192.151.150.154/live/cctv8hd.m3u8
CCTV9,http://192.151.150.154/live/cctv9hd.m3u8
CCTV10,http://192.151.150.154/live/cctv10hd.m3u8
CCTV13,http://192.151.150.154/live/cctv13hd.m3u8
CCTV4K,http://192.151.150.154/live/cctv4k.m3u8
CCTV8K,http://192.151.150.154/live/cctv8k.m3u8

卫视频道,#genre#
安徽卫视,http://liuwenxiaokevin.top:14044/rtp/233.18.204.93:5140
浙江卫视,http://liuwenxiaokevin.top:14044/rtp/233.18.204.229:5140
江苏卫视,http://8.138.7.223/tv/jsws4k.php
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
北京卫视,http://liuwenxiaokevin.top:14044/rtp/233.18.204.209:5140
东方卫视,http://liuwenxiaokevin.top:14044/rtp/233.18.204.224:5140
广东卫视,http://liuwenxiaokevin.top:14044/rtp/233.18.204.218:5140
安徽卫视,http://192.151.150.154/live/ahwshd.m3u8
浙江卫视,http://192.151.150.154/live/zjwshd.m3u8
江苏卫视,http://192.151.150.154/live/jswshd.m3u8
湖南卫视,http://8.138.7.223/tv/api.php?id=hnws4k
北京卫视,http://192.151.150.154/live/bjwshd.m3u8
东方卫视,http://192.151.150.154/live/dfwshd.m3u8
广东卫视,http://192.151.150.154/live/gdwshd.m3u8
安徽卫视,http://198.204.228.26/live/ahwshd.m3u8
浙江卫视,http://198.204.228.26/live/zjwshd.m3u8
江苏卫视,http://198.204.228.26/live/jswshd.m3u8
湖南卫视,http://198.204.228.26/live/hnwshd.m3u8
北京卫视,http://198.204.228.26/live/bjwshd.m3u8
东方卫视,http://198.204.228.26/live/dfwshd.m3u8
广东卫视,http://198.204.228.26/live/gdwshd.m3u8
安徽卫视,http://198.204.228.26/live/ahwshd.m3u8
浙江卫视,http://rihou.cc:555/tv/[mg]浙江卫视
江苏卫视,http://rihou.cc:555/tv/[mg]江苏卫视
湖南卫视,http://rihou.cc:555/tv/[mg]湖南卫视
北京卫视,http://rihou.cc:555/tv/[mg]北京卫视
东方卫视,http://rihou.cc:555/tv/[mg]东方卫视
广东卫视,http://rihou.cc:555/tv/[mg]广东卫视

港台频道,#genre#
凤凰中文,http://218.104.239.114:9901/tsfile/live/1013_1.m3u8?key=txiptv
凤凰资讯,http://218.104.239.114:9901/tsfile/live/1012_1.m3u8?key=txiptv
凤凰中文,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港,http://rihou.cc:555/tv/[Pd]凤凰香港
凤凰中文,http://221.7.175.154:85/tsfile/live/1020_1.m3u8?key=txiptv
凤凰资讯,http://221.7.175.154:85/tsfile/live/1021_1.m3u8?key=txiptv
凤凰中文,https://cdn.qd.je/163189.php?id=fhzw
凤凰资讯,https://cdn.qd.je/163189.php?id=fhzx
凤凰香港,https://cdn.qd.je/163189.php?id=fhhk
中天新闻,http://4gtv.cnlive.club/channel/3824d067/index.m3u8?q=1782639885837
中天新闻,https://d2jc41c1shgcol.cloudfront.net/live/CtiNEWS1/playlist.m3u8
中天新闻,http://rihou.cc:555/tv/[SZ]中天新闻
中天新闻,http://rihou.cc:555/tv/[Us]中天新闻
中天新闻,http://rihou.cc:555/tv/[Bx]中天新闻
中天新闻,http://nmk.ioapk.com:5050/of-4gtv-4gtv009/index.m3u8
寰宇新闻,http://4gtv.cnlive.club/channel/n4da4274/index.m3u8?q=1782639885837
东森新闻,http://4gtv.cnlive.club/channel/n5ca63a3a/index.m3u8?q=1782639885837
中视新闻,http://4gtv.cnlive.club/channel/7e6461d6/index.m3u8?q=1782639885837
tvbs新闻,http://4gtv.cnlive.club/channel/n1ea96b20/index.m3u8?q=1782639885837
tvbs新闻,http://iptv.4666888.xyz/iptv2A.php?id=43
民视新闻,http://4gtv.cnlive.club/channel/nca14742/index.m3u8?q=1782639885837
台视新闻,http://220.135.241.47:8314/0.ts

体育频道,#genre#
八段锦,https://vd2.bdstatic.com/mda-qdhpe2b03dwh8czp/720p_frame30/h264_cae_acd/1713471112274818510/mda-qdhpe2b03dwh8czp.mp4
天元围棋,http://198.204.228.26/live/gztywq.m3u8
天元围棋,http://38.75.136.137:98/gslb/dsdqpub/gztywq.m3u8?auth=testpub
天元围棋,http://120.76.248.139/live/bfgd/4200000633.m3u8
奥林匹克,http://198.204.228.26/live/cctv16hd.m3u8
奥林匹克,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
奥林匹克,http://192.151.150.154/live/cctv16hd.m3u8
风云足球,http://192.151.150.154/live/fyzq.m3u8
风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
风云足球,http://www.qfly9236.cn:8888/rtp/239.253.92.110:8061
高尔网球,http://192.151.150.154/live/gefwq.m3u8
高尔网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
高尔网球,http://www.qfly9236.cn:8888/rtp/239.253.92.117:8062
央视台球,http://192.151.150.154/live/ystq.m3u8
广东体育,http://183.62.8.58:50085/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
