🕘️更新时间,#genre#
2025-02-15 06:41:21,https://www.freetv.top/migu/608807420.m3u8?migutoken=ba552a2083efcc0e9cac8e15f58b13e090dab068fdb3997d064fd7e6e5f165824a5caaa619f3447f77d75712ad65bd76cb137741f46b0a28cb1afc020328b9b4ec1d3f8e8fed80beb6245b6544$白名单

🥬📺央视频道,#genre#
CCTV1综合,https://www.freetv.top/migu/608807420.m3u8?migutoken=ba552a2083efcc0e9cac8e15f58b13e090dab068fdb3997d064fd7e6e5f165824a5caaa619f3447f77d75712ad65bd76cb137741f46b0a28cb1afc020328b9b4ec1d3f8e8fed80beb6245b6544$白名单
CCTV1综合,http://117.144.58.42:35455/gaoma/cctv1.m3u8$本地源
CCTV1综合,http://231114.xyz:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$本地源
CCTV1综合,http://202.168.187.208:9089/tsfile/live/1003_1.m3u8$订阅源-1920x1080
CCTV1综合,http://113.140.86.162:8009/hls/501/index.m3u8$订阅源-1920x1080
CCTV1综合,http://175.31.21.146:4480/hls/1/index.m3u8$订阅源-1920x1080
CCTV1综合,http://112.46.85.60:8009/hls/501/index.m3u8$订阅源-1920x1080
CCTV1综合,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$订阅源-1920x1080
CCTV1综合,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8$订阅源-1920x1080
CCTV1综合,http://219.135.180.210:18888/hls/1/index.m3u8$订阅源-1920x1080
CCTV1综合,http://111.160.27.70:35793/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
CCTV2财经,https://www.freetv.top/migu/631780532.m3u8?migutoken=317722ab220ea7aa14f0f18816b423a2ce5181a72d8b1f02e4aba95d7d7707dc123fcbb113b41a2406a823e2a738dbdbfb23c22ccfe936e40e63d389ab3f0f2e4ae3f3ec3e46f3d2f021b3c7b5$白名单
CCTV2财经,http://231114.xyz:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$本地源
CCTV2财经,http://202.168.187.208:9089/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV2财经,http://113.140.86.162:8009/hls/502/index.m3u8$订阅源-1920x1080
CCTV2财经,http://175.31.21.146:4480/hls/2/index.m3u8$订阅源-1920x1080
CCTV2财经,http://112.46.85.60:8009/hls/502/index.m3u8$订阅源-1920x1080
CCTV2财经,http://110.53.52.63:8888/newlive/live/hls/3/live.m3u8$订阅源-1920x1080
CCTV2财经,http://219.135.180.210:18888/hls/2/index.m3u8$订阅源-1920x1080
CCTV2财经,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
CCTV2财经,http://112.123.206.32:808/hls/2/index.m3u8$订阅源-1920x1080
CCTV2财经,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8$订阅源-1920x1080
CCTV3综艺,https://www.freetv.top/migu/624878271.m3u8?migutoken=d2f5e7c9e37c0b31c1e675570e64cff15a1f3d4cc205147b55d1c5c9bb6dabbe7f90a086a034b81e426ec6972d34b1a781ff13dc117f082e339a9ed2a182bf981810fdf1dcec27a84fadf629e3$白名单
CCTV3综艺,http://58.17.48.228:808/hls/3/index.m3u8$本地源
CCTV3综艺,http://231114.xyz:35455/itv/1000000005000265003.m3u8?cdn=ystenlive$本地源
CCTV3综艺,http://202.168.187.208:9089/tsfile/live/0003_1.m3u8$订阅源-1920x1080
CCTV3综艺,http://113.140.86.162:8009/hls/3/index.m3u8$订阅源-1920x1080
CCTV3综艺,http://112.46.85.60:8009/hls/3/index.m3u8$订阅源-1920x1080
CCTV3综艺,http://110.53.52.63:8888/newlive/live/hls/4/live.m3u8$订阅源-1920x1080
CCTV3综艺,http://219.135.180.210:18888/hls/3/index.m3u8$订阅源-1920x1080
CCTV3综艺,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
CCTV3综艺,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8$订阅源-1920x1080
CCTV3综艺,http://b.zgjok.com:35455/itv/1000000005000265003.m3u8?cdn=ystenlive$订阅源-1920x1080
CCTV4中文国际,http://231114.xyz:35455/itv/1000000005000265004.m3u8?cdn=ystenlive$本地源
CCTV4中文国际,http://202.168.187.208:9089/tsfile/live/1000_1.m3u8$订阅源-1920x1080
CCTV4中文国际,http://113.140.86.162:8009/hls/4/index.m3u8$订阅源-1920x1080
CCTV4中文国际,http://112.46.85.60:8009/hls/4/index.m3u8$订阅源-1920x1080
CCTV4中文国际,http://110.53.52.63:8888/newlive/live/hls/5/live.m3u8$订阅源-1920x1080
CCTV4中文国际,http://219.135.180.210:18888/hls/4/index.m3u8$订阅源-1920x1080
CCTV4中文国际,http://58.221.214.82:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
CCTV4中文国际,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8$订阅源-1920x1080
CCTV4中文国际,http://b.zgjok.com:35455/itv/1000000005000265004.m3u8?cdn=ystenlive$订阅源-1920x1080
CCTV4中文国际,http://42.238.235.104:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
CCTV5体育,https://www.freetv.top/migu/641886683.m3u8?migutoken=5419f38d020fc6c0f4160940012d9c60af8160fe26d1afc244d3171a5fb0eca4a95711596173fa41db6d1c1e8e14ed17b4612f21192afa5f3e8867b00bd25545464e545fd9abf66d5acdfe1313$白名单
CCTV5体育,http://110.53.52.63:8888/newlive/live/hls/6/live.m3u8$本地源
CCTV5体育,http://231114.xyz:35455/itv/1000000005000265005.m3u8?cdn=ystenlive$本地源
CCTV5体育,http://202.168.187.208:9089/tsfile/live/0005_1.m3u8$订阅源-1920x1080
CCTV5体育,http://219.159.91.10:9901/tsfile/live/0005_1.m3u8$订阅源-1920x1080
CCTV5体育,http://113.140.86.162:8009/hls/503/index.m3u8$订阅源-1920x1080
CCTV5体育,http://175.31.21.146:4480/hls/5/index.m3u8$订阅源-1920x1080
CCTV5体育,http://112.46.85.60:8009/hls/503/index.m3u8$订阅源-1920x1080
CCTV5体育,http://219.135.180.210:18888/hls/5/index.m3u8$订阅源-1920x1080
CCTV5体育,http://111.160.27.70:35793/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
CCTV5体育,http://58.221.214.82:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
CCTV5+体育赛事,https://www.freetv.top/migu/641886773.m3u8?migutoken=d57fee211897159700add52df7fa3cc7a33c8a36badab30689bd7e02d578ef2c5a1f2dfec5736538ddf6531be37ece2b758f850641e3bdbf9d62e9df98d925e5a8986dc9134dbcea7e2157891f$白名单
CCTV5+体育赛事,http://2000.run:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$本地源
CCTV5+体育赛事,http://3501776.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$本地源
CCTV5+体育赛事,http://117.144.58.42:35455/gaoma/cctv5p.m3u8$本地源
CCTV5+体育赛事,http://gf.you123.fun:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$本地源
CCTV5+体育赛事,http://231114.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$本地源
CCTV5+体育赛事,http://110.53.52.63:8888/newlive/live/hls/7/live.m3u8$订阅源-1920x1080
CCTV5+体育赛事,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
CCTV5+体育赛事,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8$订阅源-1920x1080
CCTV5+体育赛事,http://b.zgjok.com:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$订阅源-1920x1080
CCTV5+体育赛事,http://113.101.119.26:8090/hls/10/index.m3u8$订阅源-1920x1080
CCTV6电影,https://www.freetv.top/migu/624878396.m3u8?migutoken=680307806d82b89a0fb49996b2ac29f029f4acaa517daa479e0e7b48de1925cbaf5d59d33296ab91d331a8f6d9427efbd62c58c14828357513663ce40c85b2fcfc05583339543a10f4a02d75d0$白名单
CCTV6电影,http://58.17.48.228:808/hls/6/index.m3u8$本地源
CCTV6电影,http://231114.xyz:35455/itv/1000000005000265006.m3u8?cdn=ystenlive$本地源
CCTV6电影,http://113.140.86.162:8009/hls/6/index.m3u8$订阅源-1920x1080
CCTV6电影,http://110.53.52.63:8888/newlive/live/hls/8/live.m3u8$订阅源-1920x1080
CCTV6电影,http://219.135.180.210:18888/hls/6/index.m3u8$订阅源-1920x1080
CCTV6电影,http://58.221.214.82:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
CCTV6电影,https://api.olelive.com/dis/live/CCTV6HD/hls.m3u8$订阅源-1920x1080
CCTV6电影,http://b.zgjok.com:35455/itv/1000000005000265006.m3u8?cdn=ystenlive$订阅源-1920x1080
CCTV6电影,http://113.101.119.26:8090/hls/118/index.m3u8$订阅源-1920x1080
CCTV6电影,http://61.138.128.226:19901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
CCTV7国防军事,https://www.freetv.top/migu/673168121.m3u8?migutoken=97a46285e2ac80354b4cda7972c410ce7c4ea2d42ac569d87ec2072905e3f1274f652ad22225021e86a0449f109ca248ae7e401e49373b725d4190ff653b660e58abedd89065cf4c052ea97e81$白名单
CCTV7国防军事,http://231114.xyz:35455/itv/1000000005000265007.m3u8?cdn=ystenlive$本地源
CCTV7国防军事,http://113.140.86.162:8009/hls/504/index.m3u8$订阅源-1920x1080
CCTV7国防军事,http://112.46.85.60:8009/hls/504/index.m3u8$订阅源-1920x1080
CCTV7国防军事,http://110.53.52.63:8888/newlive/live/hls/9/live.m3u8$订阅源-1920x1080
CCTV7国防军事,http://219.135.180.210:18888/hls/7/index.m3u8$订阅源-1920x1080
CCTV7国防军事,http://58.221.214.82:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源-1920x1080
